,reward,total_score,dbs,scoreDBS,chs,scoreCHS,dus,scoreDuS,sils,scoreSilS
36,-0.004286253114187011,0.29191358775022297,13.73731092293094,0.986262689077069,2.056812631465958,0.002056812631465958,1.0570268303818304e-13,1.0570268303818304e-16,-0.6413303014152866,0.1793348492923567
37,0.0013270922152372466,0.2932406799654602,11.155128073813046,0.9888448719261869,2.1926737623046617,0.0021926737623046617,1.1657115351330075e-13,1.1657115351330076e-16,-0.6361496516533018,0.18192517417334908
38,-0.005935701309114916,0.2873049786563453,11.870049423919884,0.9881299505760801,2.605757583496234,0.002605757583496234,1.181785827951311e-13,1.181785827951311e-16,-0.6830315870683905,0.15848420646580474
39,-0.0030510386832049985,0.2842539399731403,12.948919098376772,0.9870510809016232,2.3334161898749457,0.0023334161898749457,1.181785827951311e-13,1.181785827951311e-16,-0.7047374743978738,0.1476312628010631
40,0.007346036884432583,0.2915999768575729,9.223910967306418,0.9907760890326935,2.24226329189534,0.00224226329189534,1.181785827951311e-13,1.181785827951311e-16,-0.653236889788595,0.17338155510570252
41,-0.0032520339094779804,0.2883479429480949,10.768048294510928,0.989231951705489,2.3651168641269726,0.0023651168641269727,1.181785827951311e-13,1.181785827951311e-16,-0.6764105935544732,0.1617947032227634
42,-0.00017732976223988617,0.288170613185855,12.295185358889741,0.9877048146411103,2.1241221458052357,0.002124122145805236,1.0570268303818304e-13,1.0570268303818304e-16,-0.674292968086991,0.1628535159565045
43,-0.0009000061597970177,0.287270607026058,10.977019434917757,0.9890229805650822,2.343202288182531,0.0023432022881825307,1.181785827951311e-13,1.181785827951311e-16,-0.6845675094980659,0.15771624525096706
44,0.0,0.287270607026058,10.97701943491776,0.9890229805650822,2.343202288182531,0.0023432022881825307,1.181785827951311e-13,1.181785827951311e-16,-0.6845675094980659,0.15771624525096706
45,0.007547906643349256,0.29481851366940726,12.217307516109894,0.9877826924838901,2.3506412997639057,0.0023506412997639056,1.181785827951311e-13,1.181785827951311e-16,-0.6217185582120499,0.18914072089397505
46,0.009414563148472721,0.30423307681788,10.52281934687576,0.9894771806531243,2.1406398412786647,0.0021406398412786645,1.0570268303818304e-13,1.0570268303818304e-16,-0.5493710264457663,0.22531448677711685
47,0.0024365722472300955,0.3066696490651101,9.035279186132977,0.9909647208138671,2.349261440606199,0.0023492614406061987,1.0570268303818304e-13,1.0570268303818304e-16,-0.5332707719880662,0.23336461400596692
48,0.0002305150264547695,0.30690016409156484,12.92006444269258,0.9870799355573074,2.4609029608582733,0.002460902960858273,1.1657115351330075e-13,1.1657115351330076e-16,-0.5238803643038128,0.2380598178480936
49,-0.013221711108467926,0.2936784529830969,12.7199667819809,0.987280033218019,2.46909582137924,0.00246909582137924,1.181785827951311e-13,1.181785827951311e-16,-0.6300706342140215,0.18496468289298923
50,0.007913951384331819,0.30159240436742873,12.989741924731574,0.9870102580752684,2.425328401688076,0.002425328401688076,1.181785827951311e-13,1.181785827951311e-16,-0.5661319380144832,0.21693403099275838
51,-0.0019519621024527423,0.299640442264976,12.183510016992058,0.987816489983008,2.3157838477138752,0.0023157838477138753,1.181785827951311e-13,1.181785827951311e-16,-0.5831410095416358,0.20842949522918208
52,-0.009552914279441937,0.29008752798553405,15.538151447381965,0.984461848552618,2.3205484078603438,0.002320548407860344,1.181785827951311e-13,1.181785827951311e-16,-0.6528645700366842,0.1735677149816579
53,0.009117366807207095,0.29920489479274115,10.585757825249223,0.9894142421747508,2.61559027718961,0.00261559027718961,1.181785827951311e-13,1.181785827951311e-16,-0.5904205065619519,0.20478974671902406
54,0.0007777468391900189,0.29998264163193117,12.712261226492062,0.987287738773508,2.2706053928833585,0.0022706053928833584,1.181785827951311e-13,1.181785827951311e-16,-0.5792555552773335,0.21037222236133324
55,-0.0022366432901619326,0.29774599834176924,17.32488596115304,0.9826751140388469,2.4864755882400766,0.0024864755882400766,1.181785827951311e-13,1.181785827951311e-16,-0.5883551925200203,0.20582240373998983
56,-0.0058090345860671855,0.29193696375570205,12.296147330225178,0.9877038526697749,2.3249874161399493,0.0023249874161399495,1.181785827951311e-13,1.181785827951311e-16,-0.6445619701262136,0.17771901493689318
57,0.014550537182763834,0.3064875009384659,14.207159707211902,0.9857928402927881,2.368288903508686,0.002368288903508686,1.181785827951311e-13,1.181785827951311e-16,-0.5244222508848666,0.2377888745575667
58,-0.011561641562915281,0.2949258593755506,11.649930458555424,0.9883500695414446,2.5540807372896692,0.0025540807372896692,1.181785827951311e-13,1.181785827951311e-16,-0.622401425553064,0.188799287223468
59,0.019233809549659642,0.31415966892521024,13.944476890150716,0.9860555231098493,2.6349334606205828,0.002634933460620583,1.181785827951311e-13,1.181785827951311e-16,-0.46410356173925804,0.267948219130371
60,-0.014571443814542007,0.29958822511066824,13.463185849079583,0.9865368141509204,2.354141952677997,0.0023541419526779974,1.181785827951311e-13,1.181785827951311e-16,-0.5810761113218511,0.20946194433907445
61,-0.0014426837025610095,0.29814554140810723,13.322430423298583,0.9866775695767015,2.374278913876566,0.002374278913876566,1.181785827951311e-13,1.181785827951311e-16,-0.5929393657162982,0.20353031714185088
62,0.016899841008985117,0.31504538241709235,13.532705600740819,0.9864672943992592,2.845610583029517,0.0028456105830295167,1.181785827951311e-13,1.181785827951311e-16,-0.45826275062783917,0.2708686246860804
63,-0.01634173132771899,0.29870365108937336,12.07451280231906,0.9879254871976809,2.356521273995195,0.002356521273995195,1.181785827951311e-13,1.181785827951311e-16,-0.5909348082283659,0.20453259588581707
64,-0.0023962533687695853,0.29630739772060377,10.863235041044211,0.9891367649589559,2.243880426281214,0.002243880426281214,1.181785827951311e-13,1.181785827951311e-16,-0.6123021090056444,0.1938489454971778
65,0.0013847955373734733,0.29769219325797724,11.526571339835272,0.9884734286601647,2.3284663392982403,0.0023284663392982405,1.181785827951311e-13,1.181785827951311e-16,-0.6000662439351081,0.19996687803244595
66,0.015755368387582847,0.3134475616455601,11.127866272938792,0.9888721337270612,2.2775492623556235,0.0022775492623556236,1.0570268303818304e-13,1.0570268303818304e-16,-0.47471887281435327,0.2626405635928234
67,-0.007029756515505081,0.306417805130055,11.271783689603133,0.9887282163103969,2.2040397833747094,0.0022040397833747094,1.0570268303818304e-13,1.0570268303818304e-16,-0.530522071147103,0.23473896442644848
