k,alpha,decay_episodes,run,episode,rewards,features,y_pred,scores,AMI,time,silhouette,calinski_harabasz,davies_bouldin,dunn_index,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,dunn_index_norm
1,0.1,10,0,0,-0.05838496515003566,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",0.6936058479297337,0.864538000768105,27.343809366226196,0.3297146492266013,86.7736671291622,1.2544319053892188,0.03627209971106425,0.6916161502216994,0.6161670261074665,-0.6827494467249212,0.7838907686648472
1,0.1,10,0,0,0.16738361398008583,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",0.8609894619098195,0.864538000768105,27.343809366226196,0.34929005153125825,93.75626097499989,1.228847134487807,0.03775583411146332,1.0196499895863147,0.88880349617543,-0.7004876124127459,0.8350167494647878
1,0.1,10,0,0,-0.062152816879816,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",0.7988366450300035,0.864538000768105,27.343809366226196,0.34929005153125825,93.75626097499989,1.228847134487807,0.03775583411146332,0.9365131788302582,0.8242658477277952,-0.6573606609612153,0.7772068926007453
1,0.1,10,0,0,-0.05029493408611496,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",0.7485417109438885,0.864538000768105,27.343809366226196,0.34929005153125825,93.75626097499989,1.228847134487807,0.03775583411146332,0.8708750154003306,0.7720122278902404,-0.6213295416559589,0.7299500588290244
1,0.1,10,0,0,-0.04180314208547675,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1 | single__2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",0.7067385688584118,0.864538000768105,27.343809366226196,0.34929005153125825,93.75626097499989,1.228847134487807,0.03775583411146332,0.8173489822665152,0.7285827508520331,-0.5906400476375954,0.6903824946775037
1,0.1,10,0,0,-0.03547017423749432,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1 | single__2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20) | single__2__fft_coefficient__attr_""abs""__coeff_23","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",0.6712683946209175,0.864538000768105,27.343809366226196,0.34929005153125825,93.75626097499989,1.228847134487807,0.03775583411146332,0.7726164310143626,0.6917442064660194,-0.5640906577729655,0.6566222832303223
1,0.1,10,0,0,-1.1440443059430043,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1 | single__2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20) | single__2__fft_coefficient__attr_""abs""__coeff_23 | pair__canberra__4__5","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",-0.47277591132208674,0.864538000768105,27.343809366226196,0.2798456977468734,92.62634125862935,1.4870401980928165,0.00879533944101976,-0.6560637604202116,0.6055924360851221,0.17181230306309112,-1.6688200178901664
1,0.1,10,0,0,0.044136185739257816,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1 | single__2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20) | single__2__fft_coefficient__attr_""abs""__coeff_23 | pair__canberra__4__5 | single__3__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",-0.4286397255828289,0.864538000768105,27.343809366226196,0.2798456977468734,92.62634125862935,1.4870401980928165,0.00879533944101976,-0.6285677842861827,0.5812744779094742,0.1665378884992442,-1.500727707455363
1,0.1,10,0,0,0.0333207666782927,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1 | single__2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20) | single__2__fft_coefficient__attr_""abs""__coeff_23 | pair__canberra__4__5 | single__3__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20) | single__4__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",-0.3953189589045362,0.864538000768105,27.343809366226196,0.2798456977468734,92.62634125862935,1.4870401980928165,0.00879533944101976,-0.6042623462869691,0.5596688710570924,0.16172119193143902,-1.3749611684568293
1,0.1,10,0,0,0.02635246254811424,"single__0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8 | single__5__autocorrelation__lag_8 | single__3__binned_entropy__max_bins_10 | single__3__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4 | single__2__cid_ce__normalize_False | single__0__fft_coefficient__attr_""abs""__coeff_30 | single__2__fft_coefficient__attr_""abs""__coeff_42 | single__0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20) | single__3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0 | pair__cityblock__0__2 | single__4__abs_energy | single__5__fft_coefficient__attr_""abs""__coeff_3 | single__5__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20) | single__1__time_reversal_asymmetry_statistic__lag_1 | single__2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20) | single__2__fft_coefficient__attr_""abs""__coeff_23 | pair__canberra__4__5 | single__3__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20) | single__4__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20) | single__0__autocorrelation__lag_0","[3 3 1 1 1 3 1 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2
 2 2 2 3 3 3 3 3 1 3 1 3 3 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 2 2 2 2 2 2]",-0.368966496356422,0.864538000768105,27.343809366226196,0.2798456977468734,92.62634125862935,1.4870401980928165,0.00879533944101976,-0.5825745969486283,0.5403062070818897,0.15729962424694066,-1.2762979713120086
